panel,model,condition_id,horizon,endpoint,cumulative
A,mlp_koopman,A_h00_p03,19,0.011539888237918775,0.010487114119452953
A,mlp_koopman,A_h00_p03,20,0.01155146639250155,0.010542884008541623
A,mlp_koopman,A_h00_p03,21,0.008246108912919601,0.010444972307412708
A,mlp_koopman,A_h00_p03,22,0.01008386063847514,0.010428829407706954
A,mlp_koopman,A_h00_p03,23,0.009287947177752009,0.010381833181316807
A,mlp_koopman,A_h00_p03,24,0.009373439545563878,0.010341780056366478
A,mlp_koopman,A_h00_p03,25,0.009957959656241312,0.01032670114632462
A,mlp_koopman,A_h00_p03,26,0.010920459612813608,0.010350167877294493
A,mlp_koopman,A_h00_p03,27,0.01022430153239972,0.010345533468367597
A,mlp_koopman,A_h00_p03,28,0.009546333762029674,0.010318056611061829
A,mlp_koopman,A_h00_p03,29,0.010263506095520184,0.010316180360677685
A,mlp_koopman,A_h00_p03,30,0.01367247033015257,0.010445445873227608
A,mlp_koopman,A_h00_p03,31,0.015106923624785272,0.010627777551366051
A,mlp_koopman,A_h00_p03,32,0.018499838396460758,0.010959703672454049
A,mlp_koopman,A_h00_p03,33,0.021851995438664767,0.011443130864578282
A,mlp_koopman,A_h00_p03,34,0.024759973487821496,0.012046782995747109
A,mlp_koopman,A_h00_p03,35,0.02512378705996349,0.012610034569817265
A,mlp_koopman,A_h00_p03,36,0.03035497471880323,0.013423526719282734
A,mlp_koopman,A_h00_p03,37,0.033997362522092664,0.01437217578692236
A,mlp_koopman,A_h00_p03,38,0.038197529952898386,0.015476425585182155
A,mlp_koopman,A_h00_p03,39,0.04439953975010677,0.01685007006603494
A,mlp_koopman,A_h00_p03,40,0.05256009746574587,0.018598140655445836
A,mlp_koopman,A_h00_p03,41,0.05702901060425436,0.02041516741512452
A,mlp_koopman,A_h00_p03,42,0.06572017846085991,0.022576369515500322
A,mlp_koopman,A_h00_p03,43,0.07256493877564925,0.02490575429939138
A,mlp_koopman,A_h00_p03,44,0.0784257252167376,0.027312729323481732
A,mlp_koopman,A_h00_p03,45,0.0856999587504859,0.029876721144707394
A,mlp_koopman,A_h00_p03,46,0.09439413455661241,0.03266366270658159
A,mlp_koopman,A_h00_p03,47,0.10189517397038396,0.03556854637962075
A,mlp_koopman,A_h00_p03,48,0.10821928480794384,0.03850652642400019
A,mlp_koopman,A_h00_p03,49,0.11275213207657139,0.04137562305972438
A,mlp_koopman,A_h00_p03,50,0.12226976753185162,0.04446010864758034
A,mlp_koopman,A_h00_p03,51,0.1341818702795234,0.047864153634283965
A,mlp_koopman,A_h00_p03,52,0.14803571856904366,0.051656113520773934
A,mlp_koopman,A_h00_p03,53,0.1579326442045304,0.055575400326541104
A,mlp_koopman,A_h00_p03,54,0.16958778883338413,0.05969942452085181
A,mlp_koopman,A_h00_p03,55,0.184141425554797,0.06415396454324555
A,mlp_koopman,A_h00_p03,56,0.2005316429830786,0.06899510256964586
A,mlp_koopman,A_h00_p03,57,0.21512063438126694,0.07408565944738495
A,mlp_koopman,A_h00_p03,58,0.23060598197245655,0.07944138592432018
A,mlp_koopman,A_h00_p03,59,0.2457225794938689,0.08501383200841783
A,mlp_koopman,A_h00_p03,60,0.2619816761060616,0.09083392766911813
A,mlp_koopman,A_h00_p03,61,0.27526214899347423,0.09673501032831916
A,mlp_koopman,A_h00_p03,62,0.2857903241944775,0.10258698158459871
A,mlp_koopman,A_h00_p03,63,0.2964561110254238,0.10840691499527343
A,mlp_koopman,A_h00_p03,64,0.30835148734906603,0.11425440162023744
A,mlp_koopman,A_h00_p03,65,0.3201855415497148,0.12012680169475977
A,mlp_koopman,A_h00_p03,66,0.3325952421247484,0.12604705390254967
